"name","pvalue","group"
"ITRc_1066553 - Y1_Tnp",0.0332878278114368,"2"
"ITRc_113573 - PDDEXK_2",0.0332878278114368,"2"
"ITRc_124917 - HTH_Tnp_1",0.0332878278114368,"2"
"ITRc_128840 - PDDEXK_2",0.0332878278114368,"2"
"ITRc_130771 - DUF772",0.0332878278114368,"2"
"ITRc_1334146 - DEDD_Tnp_IS110",0.0332878278114368,"2"
"ITRc_165858 - OrfB_IS605",0.0332878278114368,"2"
"ITRc_174239 - DEDD_Tnp_IS110",0.0332878278114368,"2"
"ITRc_185042 - PDDEXK_2",0.0332878278114368,"2"
"ITRc_1896812 - DDE_Tnp_IS1595",0.0332878278114368,"2"
"ITRc_199501 - Transposase_mut",0.0332878278114368,"2"
"ITRc_2382229 - DEDD_Tnp_IS110",0.0332878278114368,"2"
"ITRc_289280 - Transposase_mut",0.0332878278114368,"2"
"ITRc_363157 - HTH_Tnp_1",0.0332878278114368,"2"
"ITRc_3750133 - PDDEXK_2",0.0332878278114368,"2"
"ITRc_47012 - Transposase_31",0.0332878278114368,"2"
"ITRc_529774 - DEDD_Tnp_IS110",0.0332878278114368,"2"
"ITRc_564331 - Transposase_mut",0.0332878278114368,"2"
"ITRc_586583 - DEDD_Tnp_IS110",0.0332878278114368,"2"
"ITRc_59617 - Transposase_20",0.0332878278114368,"2"
"ITRc_66364 - Y1_Tnp",0.0332878278114368,"2"
"ITRc_815995 - Y1_Tnp",0.0332878278114368,"2"
"ITRc_875057 - OrfB_Zn_ribbon",0.0338076383626127,"2"
"ITRc_174499 - DDE_Tnp_ISL3",0.0411813100644977,"1"
"ITRc_54003 - Y1_Tnp",0.0411813100644977,"1"
